wid,name,url,domain
0,101% completion,https://burnout.fandom.com/wiki/101%25_completion,burnout.fandom.com
1,1st Street,https://burnout.fandom.com/wiki/1st_Street,burnout.fandom.com
2,25 V16 Revenge,https://burnout.fandom.com/wiki/25_V16_Revenge,burnout.fandom.com
3,25 V16 Revenge Burning Route,https://burnout.fandom.com/wiki/25_V16_Revenge_Burning_Route,burnout.fandom.com
4,2 Player Challenges,https://burnout.fandom.com/wiki/2_Player_Challenges,burnout.fandom.com
5,2nd Street,https://burnout.fandom.com/wiki/2nd_Street,burnout.fandom.com
6,360 Revenge Racer,https://burnout.fandom.com/wiki/360_Revenge_Racer,burnout.fandom.com
7,3 Player Challenges,https://burnout.fandom.com/wiki/3_Player_Challenges,burnout.fandom.com
8,3rd Street,https://burnout.fandom.com/wiki/3rd_Street,burnout.fandom.com
9,4WD Heavy Duty,https://burnout.fandom.com/wiki/4WD_Heavy_Duty,burnout.fandom.com
10,4WD Heavy Duty (Burnout Legends),https://burnout.fandom.com/wiki/4WD_Heavy_Duty_(Burnout_Legends),burnout.fandom.com
11,4WD Racer,https://burnout.fandom.com/wiki/4WD_Racer,burnout.fandom.com
12,4WD Racer (Burnout Legends),https://burnout.fandom.com/wiki/4WD_Racer_(Burnout_Legends),burnout.fandom.com
13,4 Player Challenges,https://burnout.fandom.com/wiki/4_Player_Challenges,burnout.fandom.com
14,4th Street,https://burnout.fandom.com/wiki/4th_Street,burnout.fandom.com
15,4x4 C165 Mid,https://burnout.fandom.com/wiki/4x4_C165_Mid,burnout.fandom.com
16,4x4 C180 Super,https://burnout.fandom.com/wiki/4x4_C180_Super,burnout.fandom.com
17,500 GT,https://burnout.fandom.com/wiki/500_GT,burnout.fandom.com
18,500 GT Burning Route,https://burnout.fandom.com/wiki/500_GT_Burning_Route,burnout.fandom.com
19,5 Player Challenges,https://burnout.fandom.com/wiki/5_Player_Challenges,burnout.fandom.com
20,5th Street,https://burnout.fandom.com/wiki/5th_Street,burnout.fandom.com
21,616 Sport Burning Route,https://burnout.fandom.com/wiki/616_Sport_Burning_Route,burnout.fandom.com
22,6 Player Challenges,https://burnout.fandom.com/wiki/6_Player_Challenges,burnout.fandom.com
23,7 Player Challenges,https://burnout.fandom.com/wiki/7_Player_Challenges,burnout.fandom.com
24,7th Street,https://burnout.fandom.com/wiki/7th_Street,burnout.fandom.com
25,88 Interchange,https://burnout.fandom.com/wiki/88_Interchange,burnout.fandom.com
26,8 Player Challenges,https://burnout.fandom.com/wiki/8_Player_Challenges,burnout.fandom.com
27,9th Street,https://burnout.fandom.com/wiki/9th_Street,burnout.fandom.com
28,Acclaim Entertainment,https://burnout.fandom.com/wiki/Acclaim_Entertainment,burnout.fandom.com
29,Achievements (Burnout Paradise),https://burnout.fandom.com/wiki/Achievements_(Burnout_Paradise),burnout.fandom.com
30,Achievements (Burnout Revenge),https://burnout.fandom.com/wiki/Achievements_(Burnout_Revenge),burnout.fandom.com
31,Aerodynamics,https://burnout.fandom.com/wiki/Aerodynamics,burnout.fandom.com
32,Aftertouch,https://burnout.fandom.com/wiki/Aftertouch,burnout.fandom.com
33,Aggression boost,https://burnout.fandom.com/wiki/Aggression_boost,burnout.fandom.com
34,Air Time,https://burnout.fandom.com/wiki/Air_Time,burnout.fandom.com
35,Airport Terminal 1 & 2,https://burnout.fandom.com/wiki/Airport_Terminal_1_%26_2,burnout.fandom.com
36,Airport Terminal 3,https://burnout.fandom.com/wiki/Airport_Terminal_3,burnout.fandom.com
37,Alienware Car,https://burnout.fandom.com/wiki/Alienware_Car,burnout.fandom.com
38,Alpine,https://burnout.fandom.com/wiki/Alpine,burnout.fandom.com
39,Alpine Expressway,https://burnout.fandom.com/wiki/Alpine_Expressway,burnout.fandom.com
40,American Classic (Burnout Dominator),https://burnout.fandom.com/wiki/American_Classic_(Burnout_Dominator),burnout.fandom.com
41,American Drifter,https://burnout.fandom.com/wiki/American_Drifter,burnout.fandom.com
42,American Super,https://burnout.fandom.com/wiki/American_Super,burnout.fandom.com
43,Andersen Street,https://burnout.fandom.com/wiki/Andersen_Street,burnout.fandom.com
44,Angel Valley,https://burnout.fandom.com/wiki/Angel_Valley,burnout.fandom.com
45,Angus Wharf,https://burnout.fandom.com/wiki/Angus_Wharf,burnout.fandom.com
46,Annihilator Burning Route,https://burnout.fandom.com/wiki/Annihilator_Burning_Route,burnout.fandom.com
47,Assassin,https://burnout.fandom.com/wiki/Assassin,burnout.fandom.com
48,Assassin Compact (Burnout 3),https://burnout.fandom.com/wiki/Assassin_Compact_(Burnout_3),burnout.fandom.com
49,Assassin Compact (Burnout Legends),https://burnout.fandom.com/wiki/Assassin_Compact_(Burnout_Legends),burnout.fandom.com
50,Assassin Coupe,https://burnout.fandom.com/wiki/Assassin_Coupe,burnout.fandom.com
51,Assassin Coupe (Burnout Legends),https://burnout.fandom.com/wiki/Assassin_Coupe_(Burnout_Legends),burnout.fandom.com
52,Assassin Crasher,https://burnout.fandom.com/wiki/Assassin_Crasher,burnout.fandom.com
53,Assassin Muscle,https://burnout.fandom.com/wiki/Assassin_Muscle,burnout.fandom.com
54,Assassin Muscle (Burnout Legends),https://burnout.fandom.com/wiki/Assassin_Muscle_(Burnout_Legends),burnout.fandom.com
55,Assassin Sports,https://burnout.fandom.com/wiki/Assassin_Sports,burnout.fandom.com
56,Assassin Sports (Burnout Legends),https://burnout.fandom.com/wiki/Assassin_Sports_(Burnout_Legends),burnout.fandom.com
57,Assassin Super,https://burnout.fandom.com/wiki/Assassin_Super,burnout.fandom.com
58,Assassin Super (Burnout Legends),https://burnout.fandom.com/wiki/Assassin_Super_(Burnout_Legends),burnout.fandom.com
59,Astaire,https://burnout.fandom.com/wiki/Astaire,burnout.fandom.com
60,Auto Repair,https://burnout.fandom.com/wiki/Auto_Repair,burnout.fandom.com
