wid,name,url,domain
0,A Risky Rendezvous,https://fzero.fandom.com/wiki/A_Risky_Rendezvous,fzero.fandom.com
1,Aeropolis,https://fzero.fandom.com/wiki/Aeropolis,fzero.fandom.com
2,Alcatrand,https://fzero.fandom.com/wiki/Alcatrand,fzero.fandom.com
3,Alexander O'Neil,https://fzero.fandom.com/wiki/Alexander_O%27Neil,fzero.fandom.com
4,Alias,https://fzero.fandom.com/wiki/Alias,fzero.fandom.com
5,All Cup,https://fzero.fandom.com/wiki/All_Cup,fzero.fandom.com
6,Amiibo,https://fzero.fandom.com/wiki/Amiibo,fzero.fandom.com
7,Amy Birnbaum,https://fzero.fandom.com/wiki/Amy_Birnbaum,fzero.fandom.com
8,Ancient Mesa,https://fzero.fandom.com/wiki/Ancient_Mesa,fzero.fandom.com
9,Annihilate Black Shadow,https://fzero.fandom.com/wiki/Annihilate_Black_Shadow,fzero.fandom.com
10,Anthony Ropkin,https://fzero.fandom.com/wiki/Anthony_Ropkin,fzero.fandom.com
11,Antonio Guster,https://fzero.fandom.com/wiki/Antonio_Guster,fzero.fandom.com
12,Antonio Guster/Quotes,https://fzero.fandom.com/wiki/Antonio_Guster/Quotes,fzero.fandom.com
13,Antonio Guster (GP Legend),https://fzero.fandom.com/wiki/Antonio_Guster_(GP_Legend),fzero.fandom.com
14,Astro Robin,https://fzero.fandom.com/wiki/Astro_Robin,fzero.fandom.com
15,Awakening,https://fzero.fandom.com/wiki/Awakening,fzero.fandom.com
16,BS F-Zero Grand Prix,https://fzero.fandom.com/wiki/BS_F-Zero_Grand_Prix,fzero.fandom.com
17,BS F-Zero Grand Prix 2,https://fzero.fandom.com/wiki/BS_F-Zero_Grand_Prix_2,fzero.fandom.com
18,Baba,https://fzero.fandom.com/wiki/Baba,fzero.fandom.com
19,Baba/Quotes,https://fzero.fandom.com/wiki/Baba/Quotes,fzero.fandom.com
20,Baba (GP Legend),https://fzero.fandom.com/wiki/Baba_(GP_Legend),fzero.fandom.com
21,Bahamut,https://fzero.fandom.com/wiki/Bahamut,fzero.fandom.com
22,Battle of the Women,https://fzero.fandom.com/wiki/Battle_of_the_Women,fzero.fandom.com
