wid,name,url,domain
0,100cc,https://mariokart.fandom.com/wiki/100cc,mariokart.fandom.com
1,10T Hammer,https://mariokart.fandom.com/wiki/10T_Hammer,mariokart.fandom.com
2,150cc,https://mariokart.fandom.com/wiki/150cc,mariokart.fandom.com
3,200cc,https://mariokart.fandom.com/wiki/200cc,mariokart.fandom.com
4,300 SL Roadster,https://mariokart.fandom.com/wiki/300_SL_Roadster,mariokart.fandom.com
5,3D effects,https://mariokart.fandom.com/wiki/3D_effects,mariokart.fandom.com
6,4-Wheel Cradle,https://mariokart.fandom.com/wiki/4-Wheel_Cradle,mariokart.fandom.com
7,400cc,https://mariokart.fandom.com/wiki/400cc,mariokart.fandom.com
8,50cc,https://mariokart.fandom.com/wiki/50cc,mariokart.fandom.com
9,ATV,https://mariokart.fandom.com/wiki/ATV,mariokart.fandom.com
10,Acceleration,https://mariokart.fandom.com/wiki/Acceleration,mariokart.fandom.com
11,Airship Fortress,https://mariokart.fandom.com/wiki/Airship_Fortress,mariokart.fandom.com
12,All Cup Tour,https://mariokart.fandom.com/wiki/All_Cup_Tour,mariokart.fandom.com
13,Alternate Title Screen,https://mariokart.fandom.com/wiki/Alternate_Title_Screen,mariokart.fandom.com
14,Amiibo,https://mariokart.fandom.com/wiki/Amiibo,mariokart.fandom.com
15,Amp,https://mariokart.fandom.com/wiki/Amp,mariokart.fandom.com
16,Amsterdam Drift,https://mariokart.fandom.com/wiki/Amsterdam_Drift,mariokart.fandom.com
17,Amsterdam Tour,https://mariokart.fandom.com/wiki/Amsterdam_Tour,mariokart.fandom.com
18,Ancient Tires,https://mariokart.fandom.com/wiki/Ancient_Tires,mariokart.fandom.com
19,Angry Sun,https://mariokart.fandom.com/wiki/Angry_Sun,mariokart.fandom.com
20,Animal Crossing,https://mariokart.fandom.com/wiki/Animal_Crossing,mariokart.fandom.com
21,Animal Tour,https://mariokart.fandom.com/wiki/Animal_Tour,mariokart.fandom.com
22,Anniversary Tour,https://mariokart.fandom.com/wiki/Anniversary_Tour,mariokart.fandom.com
23,Anniversary Tour (2021),https://mariokart.fandom.com/wiki/Anniversary_Tour_(2021),mariokart.fandom.com
24,Anniversary Tour (2022),https://mariokart.fandom.com/wiki/Anniversary_Tour_(2022),mariokart.fandom.com
25,Anniversary Tour (2023),https://mariokart.fandom.com/wiki/Anniversary_Tour_(2023),mariokart.fandom.com
26,Anti-gravity,https://mariokart.fandom.com/wiki/Anti-gravity,mariokart.fandom.com
27,Antigravity Panel,https://mariokart.fandom.com/wiki/Antigravity_Panel,mariokart.fandom.com
28,App Store,https://mariokart.fandom.com/wiki/App_Store,mariokart.fandom.com
29,Arrow Field,https://mariokart.fandom.com/wiki/Arrow_Field,mariokart.fandom.com
30,Arrow Sign,https://mariokart.fandom.com/wiki/Arrow_Sign,mariokart.fandom.com
31,Asuka Hayazaki,https://mariokart.fandom.com/wiki/Asuka_Hayazaki,mariokart.fandom.com
32,Athens Dash,https://mariokart.fandom.com/wiki/Athens_Dash,mariokart.fandom.com
33,Atsuko Asahi,https://mariokart.fandom.com/wiki/Atsuko_Asahi,mariokart.fandom.com
34,Atsushi Masaki,https://mariokart.fandom.com/wiki/Atsushi_Masaki,mariokart.fandom.com
35,Automatic,https://mariokart.fandom.com/wiki/Automatic,mariokart.fandom.com
36,Autumn Tour,https://mariokart.fandom.com/wiki/Autumn_Tour,mariokart.fandom.com
37,Autumn Tour (2022),https://mariokart.fandom.com/wiki/Autumn_Tour_(2022),mariokart.fandom.com
38,Avoiding Obstacles,https://mariokart.fandom.com/wiki/Avoiding_Obstacles,mariokart.fandom.com
39,Award Ceremony,https://mariokart.fandom.com/wiki/Award_Ceremony,mariokart.fandom.com
40,Azure Roller,https://mariokart.fandom.com/wiki/Azure_Roller,mariokart.fandom.com
41,B Dasher,https://mariokart.fandom.com/wiki/B_Dasher,mariokart.fandom.com
42,Baby Daisy,https://mariokart.fandom.com/wiki/Baby_Daisy,mariokart.fandom.com
43,Baby Luigi,https://mariokart.fandom.com/wiki/Baby_Luigi,mariokart.fandom.com
44,Baby Mario,https://mariokart.fandom.com/wiki/Baby_Mario,mariokart.fandom.com
45,Baby Park,https://mariokart.fandom.com/wiki/Baby_Park,mariokart.fandom.com
46,Baby Peach,https://mariokart.fandom.com/wiki/Baby_Peach,mariokart.fandom.com
47,Baby Peach (Cherub),https://mariokart.fandom.com/wiki/Baby_Peach_(Cherub),mariokart.fandom.com
48,Baby Rosalina,https://mariokart.fandom.com/wiki/Baby_Rosalina,mariokart.fandom.com
49,Baby Rosalina (Detective),https://mariokart.fandom.com/wiki/Baby_Rosalina_(Detective),mariokart.fandom.com
50,Baby Rosalina Tour,https://mariokart.fandom.com/wiki/Baby_Rosalina_Tour,mariokart.fandom.com
51,Badwagon,https://mariokart.fandom.com/wiki/Badwagon,mariokart.fandom.com
52,Ball 'n' Chain,https://mariokart.fandom.com/wiki/Ball_%27n%27_Chain,mariokart.fandom.com
53,Balloon,https://mariokart.fandom.com/wiki/Balloon,mariokart.fandom.com
54,Balloon Battle,https://mariokart.fandom.com/wiki/Balloon_Battle,mariokart.fandom.com
55,Banana,https://mariokart.fandom.com/wiki/Banana,mariokart.fandom.com
56,Banana Barrel,https://mariokart.fandom.com/wiki/Banana_Barrel,mariokart.fandom.com
57,Banana Bunch,https://mariokart.fandom.com/wiki/Banana_Bunch,mariokart.fandom.com
