wid,name,url,domain
0,/r/NeedForSpeed,https://nfs.fandom.com/wiki//r/NeedForSpeed,nfs.fandom.com
1,"1,035 bhp 6.3L V12","https://nfs.fandom.com/wiki/1,035_bhp_6.3L_V12",nfs.fandom.com
2,"1,479 bhp 8.0L W16","https://nfs.fandom.com/wiki/1,479_bhp_8.0L_W16",nfs.fandom.com
3,"1,489 bhp 5.1L V8 Hybrid","https://nfs.fandom.com/wiki/1,489_bhp_5.1L_V8_Hybrid",nfs.fandom.com
4,10 6 1 multipoint,https://nfs.fandom.com/wiki/10_6_1_multipoint,nfs.fandom.com
5,10 6 2 multipoint,https://nfs.fandom.com/wiki/10_6_2_multipoint,nfs.fandom.com
6,110 bhp 1.6L I4,https://nfs.fandom.com/wiki/110_bhp_1.6L_I4,nfs.fandom.com
7,11 6 1 multipoint token,https://nfs.fandom.com/wiki/11_6_1_multipoint_token,nfs.fandom.com
8,121 bhp 2.2L I4,https://nfs.fandom.com/wiki/121_bhp_2.2L_I4,nfs.fandom.com
9,128 bhp 1.8L I4,https://nfs.fandom.com/wiki/128_bhp_1.8L_I4,nfs.fandom.com
10,12 6 1 multi token,https://nfs.fandom.com/wiki/12_6_1_multi_token,nfs.fandom.com
11,12 6 2 multipoint,https://nfs.fandom.com/wiki/12_6_2_multipoint,nfs.fandom.com
12,12th & Arbutus,https://nfs.fandom.com/wiki/12th_%26_Arbutus,nfs.fandom.com
13,13 4 1 0 tollbooth,https://nfs.fandom.com/wiki/13_4_1_0_tollbooth,nfs.fandom.com
14,13 4 1 R tollbooth,https://nfs.fandom.com/wiki/13_4_1_R_tollbooth,nfs.fandom.com
15,13 7 1 drag,https://nfs.fandom.com/wiki/13_7_1_drag,nfs.fandom.com
16,13 7 2 drag,https://nfs.fandom.com/wiki/13_7_2_drag,nfs.fandom.com
17,13 7 3 drag,https://nfs.fandom.com/wiki/13_7_3_drag,nfs.fandom.com
18,14 2 3 cellphone sprint,https://nfs.fandom.com/wiki/14_2_3_cellphone_sprint,nfs.fandom.com
19,14 7 1 drag,https://nfs.fandom.com/wiki/14_7_1_drag,nfs.fandom.com
20,14 7 2 drag,https://nfs.fandom.com/wiki/14_7_2_drag,nfs.fandom.com
21,14th and Vine,https://nfs.fandom.com/wiki/14th_and_Vine,nfs.fandom.com
22,14th and Vine Construction,https://nfs.fandom.com/wiki/14th_and_Vine_Construction,nfs.fandom.com
23,151 bhp 2.4L I6,https://nfs.fandom.com/wiki/151_bhp_2.4L_I6,nfs.fandom.com
24,158 bhp 2.0L I4,https://nfs.fandom.com/wiki/158_bhp_2.0L_I4,nfs.fandom.com
25,158 bhp 2.0L I6,https://nfs.fandom.com/wiki/158_bhp_2.0L_I6,nfs.fandom.com
26,162 bhp 3.9L I6,https://nfs.fandom.com/wiki/162_bhp_3.9L_I6,nfs.fandom.com
27,175 bhp 4.6L V8,https://nfs.fandom.com/wiki/175_bhp_4.6L_V8,nfs.fandom.com
28,182 bhp 1.6L I4,https://nfs.fandom.com/wiki/182_bhp_1.6L_I4,nfs.fandom.com
29,192 bhp 2.5L I4,https://nfs.fandom.com/wiki/192_bhp_2.5L_I4,nfs.fandom.com
30,197 bhp 2.0L F4,https://nfs.fandom.com/wiki/197_bhp_2.0L_F4,nfs.fandom.com
31,197 bhp 2.8L V6,https://nfs.fandom.com/wiki/197_bhp_2.8L_V6,nfs.fandom.com
32,19 2 1 sprint,https://nfs.fandom.com/wiki/19_2_1_sprint,nfs.fandom.com
33,1st Ave Truck Stop,https://nfs.fandom.com/wiki/1st_Ave_Truck_Stop,nfs.fandom.com
34,1st Promotion Test,https://nfs.fandom.com/wiki/1st_Promotion_Test,nfs.fandom.com
35,"2,011 bhp Electric","https://nfs.fandom.com/wiki/2,011_bhp_Electric",nfs.fandom.com
36,2000 911 Turbo Challenge,https://nfs.fandom.com/wiki/2000_911_Turbo_Challenge,nfs.fandom.com
37,2000cc Challenge,https://nfs.fandom.com/wiki/2000cc_Challenge,nfs.fandom.com
38,200 bhp 2.0L I4,https://nfs.fandom.com/wiki/200_bhp_2.0L_I4,nfs.fandom.com
39,200 bhp 4.7L V8,https://nfs.fandom.com/wiki/200_bhp_4.7L_V8,nfs.fandom.com
40,200 bhp 6.6L V8,https://nfs.fandom.com/wiki/200_bhp_6.6L_V8,nfs.fandom.com
41,202 bhp 2.0L I4,https://nfs.fandom.com/wiki/202_bhp_2.0L_I4,nfs.fandom.com
42,20 1 1 circuit test,https://nfs.fandom.com/wiki/20_1_1_circuit_test,nfs.fandom.com
43,20 1 2 maxcarload,https://nfs.fandom.com/wiki/20_1_2_maxcarload,nfs.fandom.com
44,20 2 1 rival race,https://nfs.fandom.com/wiki/20_2_1_rival_race,nfs.fandom.com
45,20 2 2 habib test,https://nfs.fandom.com/wiki/20_2_2_habib_test,nfs.fandom.com
46,20 4 1 R tollbooth,https://nfs.fandom.com/wiki/20_4_1_R_tollbooth,nfs.fandom.com
47,20 4 1 opm tollbooth,https://nfs.fandom.com/wiki/20_4_1_opm_tollbooth,nfs.fandom.com
48,20 5 1 speedtraps,https://nfs.fandom.com/wiki/20_5_1_speedtraps,nfs.fandom.com
49,20 6 1 opm multipoint test,https://nfs.fandom.com/wiki/20_6_1_opm_multipoint_test,nfs.fandom.com
50,20 8 1 escape the cops,https://nfs.fandom.com/wiki/20_8_1_escape_the_cops,nfs.fandom.com
51,210 bhp 2.0L I4,https://nfs.fandom.com/wiki/210_bhp_2.0L_I4,nfs.fandom.com
52,217 bhp 2.0L I4,https://nfs.fandom.com/wiki/217_bhp_2.0L_I4,nfs.fandom.com
53,217 bhp 2.3L I4,https://nfs.fandom.com/wiki/217_bhp_2.3L_I4,nfs.fandom.com
54,218 bhp 1.8L I4,https://nfs.fandom.com/wiki/218_bhp_1.8L_I4,nfs.fandom.com
55,224 bhp 4.6L V8,https://nfs.fandom.com/wiki/224_bhp_4.6L_V8,nfs.fandom.com
56,225 bhp 4.7L V8,https://nfs.fandom.com/wiki/225_bhp_4.7L_V8,nfs.fandom.com
57,225 bhp 4.9L V8,https://nfs.fandom.com/wiki/225_bhp_4.9L_V8,nfs.fandom.com
58,228 bhp 2.0L I4,https://nfs.fandom.com/wiki/228_bhp_2.0L_I4,nfs.fandom.com
59,232 bhp 1.3L Wankel,https://nfs.fandom.com/wiki/232_bhp_1.3L_Wankel,nfs.fandom.com
60,237 bhp 2.0L I4,https://nfs.fandom.com/wiki/237_bhp_2.0L_I4,nfs.fandom.com
61,247 bhp 2.0L I4,https://nfs.fandom.com/wiki/247_bhp_2.0L_I4,nfs.fandom.com
62,261 bhp 2.0L I4,https://nfs.fandom.com/wiki/261_bhp_2.0L_I4,nfs.fandom.com
63,274 bhp 3.5L I6,https://nfs.fandom.com/wiki/274_bhp_3.5L_I6,nfs.fandom.com
64,276 bhp 1.3L Wankel,https://nfs.fandom.com/wiki/276_bhp_1.3L_Wankel,nfs.fandom.com
65,276 bhp 2.6L I6,https://nfs.fandom.com/wiki/276_bhp_2.6L_I6,nfs.fandom.com
66,276 bhp 3.0L V6,https://nfs.fandom.com/wiki/276_bhp_3.0L_V6,nfs.fandom.com
